127.0.0.1 - - [12/Mar/2018:09:43:43 +0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/ HTTP/1.1" 200 9446
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/primefaces.css.do?ln=primefaces&v=5.3 HTTP/1.1" 200 70853
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/jquery/jquery.js.do?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/jquery/jquery-plugins.js.do?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/primefaces.js.do?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/css/core-layout.css.do?ln=volt-layout HTTP/1.1" 200 20315
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/css/animate.css.do?ln=volt-layout HTTP/1.1" 200 81472
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/css/volt-font.css.do?ln=volt-layout HTTP/1.1" 200 23536
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/css/font-awesome.css.do?ln=volt-layout HTTP/1.1" 200 31156
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/css/volt-layout.css.do?ln=volt-layout HTTP/1.1" 200 25727
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/js/layout.js.do?ln=volt-layout HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/theme.css.do?ln=primefaces-volt HTTP/1.1" 200 191204
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/fonts/opensans-bold-webfont.eot.do?ln=primefaces-volt HTTP/1.1" 200 66013
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/fonts/opensans-light-webfont.eot.do?ln=primefaces-volt HTTP/1.1" 200 61053
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/fonts/opensans-regular-webfont.eot.do?ln=primefaces-volt HTTP/1.1" 200 217779
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/fonts/opensans-semibold-webfont.eot.do?ln=primefaces-volt HTTP/1.1" 200 221790
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/fonts/Volt.eot.do?ln=volt-layout HTTP/1.1" 200 103625
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/fonts/fontawesome-webfont.eot.do?ln=volt-layout&v=4.3.0 HTTP/1.1" 200 60835
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/images/logo.svg.do?ln=volt-layout HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:44 +0600] "GET /springhibernate/javax.faces.resource/images/menu-dots.svg.do?ln=primefaces-volt HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:53 +0600] "GET /springhibernate/ HTTP/1.1" 200 9444
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:53 +0600] "GET /springhibernate/javax.faces.resource/jquery/jquery.js.do?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:53 +0600] "GET /springhibernate/javax.faces.resource/jquery/jquery-plugins.js.do?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:53 +0600] "GET /springhibernate/javax.faces.resource/css/volt-font.css.do?ln=volt-layout HTTP/1.1" 200 23536
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:53 +0600] "GET /springhibernate/javax.faces.resource/primefaces.js.do?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:53 +0600] "GET /springhibernate/javax.faces.resource/css/core-layout.css.do?ln=volt-layout HTTP/1.1" 200 20315
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:53 +0600] "GET /springhibernate/javax.faces.resource/css/font-awesome.css.do?ln=volt-layout HTTP/1.1" 200 31156
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:53 +0600] "GET /springhibernate/javax.faces.resource/js/layout.js.do?ln=volt-layout HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:53 +0600] "GET /springhibernate/javax.faces.resource/primefaces.css.do?ln=primefaces&v=5.3 HTTP/1.1" 200 70853
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:53 +0600] "GET /springhibernate/javax.faces.resource/css/animate.css.do?ln=volt-layout HTTP/1.1" 200 81472
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:53 +0600] "GET /springhibernate/javax.faces.resource/css/volt-layout.css.do?ln=volt-layout HTTP/1.1" 200 25727
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:54 +0600] "GET /springhibernate/javax.faces.resource/theme.css.do?ln=primefaces-volt HTTP/1.1" 200 191204
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:54 +0600] "GET /springhibernate/javax.faces.resource/images/logo.svg.do?ln=volt-layout HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:54 +0600] "GET /springhibernate/javax.faces.resource/images/menu-dots.svg.do?ln=primefaces-volt HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:54 +0600] "GET /springhibernate/javax.faces.resource/fonts/opensans-regular-webfont.woff2.do?ln=primefaces-volt HTTP/1.1" 200 61997
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:54 +0600] "GET /springhibernate/javax.faces.resource/fonts/Volt.ttf.do?ln=volt-layout HTTP/1.1" 200 103473
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:54 +0600] "GET /springhibernate/javax.faces.resource/fonts/opensans-light-webfont.woff2.do?ln=primefaces-volt HTTP/1.1" 200 52404
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:54 +0600] "GET /springhibernate/javax.faces.resource/fonts/fontawesome-webfont.woff2.do?ln=volt-layout&v=4.3.0 HTTP/1.1" 200 56841
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:54 +0600] "GET /springhibernate/javax.faces.resource/fonts/opensans-bold-webfont.woff2.do?ln=primefaces-volt HTTP/1.1" 200 56529
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:54 +0600] "GET /springhibernate/javax.faces.resource/fonts/opensans-semibold-webfont.woff2.do?ln=primefaces-volt HTTP/1.1" 200 64309
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:54 +0600] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/views/students/forms.do HTTP/1.1" 200 11805
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/primefaces.css.do?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/jquery/jquery.js.do?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/jquery/jquery-plugins.js.do?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/primefaces.js.do?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/css/font-awesome.css.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/css/volt-layout.css.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/theme.css.do?ln=primefaces-volt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/css/core-layout.css.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/js/layout.js.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/css/volt-font.css.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/css/animate.css.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/images/logo.svg.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:55 +0600] "GET /springhibernate/javax.faces.resource/images/menu-dots.svg.do?ln=primefaces-volt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/views/students/all.do HTTP/1.1" 200 18452
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/jquery/jquery.js.do?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/primefaces.js.do?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/jquery/jquery-plugins.js.do?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/css/core-layout.css.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/css/animate.css.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/theme.css.do?ln=primefaces-volt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/js/layout.js.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/css/volt-font.css.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/css/volt-layout.css.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/css/font-awesome.css.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/primefaces.css.do?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/images/logo.svg.do?ln=volt-layout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/images/left-one-arrow-for-data.svg.do?ln=primefaces-volt HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/images/right-one-arrow-for-data.svg.do?ln=primefaces-volt HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/images/menu-dots.svg.do?ln=primefaces-volt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/images/ui-icons_72b42d_256x240.png.do?ln=primefaces-volt HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/images/right-double-arrow-for-data.svg.do?ln=primefaces-volt HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/images/updown-navy-arrow.svg.do?ln=primefaces-volt HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/images/left-double-arrow-for-data.svg.do?ln=primefaces-volt HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [12/Mar/2018:09:43:57 +0600] "GET /springhibernate/javax.faces.resource/images/ui-icons_ffffff_256x240.png.do?ln=primefaces-volt HTTP/1.1" 200 6299
