127.0.0.1 - - [06/Mar/2018:12:21:16 +0600] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/ HTTP/1.1" 200 7565
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/layout/layout.css.xhtml;jsessionid=5871234B66B5E9D45495F8F8DD4B0037?ln=primefaces&v=5.3 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=5871234B66B5E9D45495F8F8DD4B0037?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/primefaces.js.xhtml;jsessionid=5871234B66B5E9D45495F8F8DD4B0037?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/jsfcrud.js.xhtml;jsessionid=5871234B66B5E9D45495F8F8DD4B0037?ln=js HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/jsfcrud.css.xhtml;jsessionid=5871234B66B5E9D45495F8F8DD4B0037?ln=css HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/theme.css.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/theme.css.xhtml;jsessionid=5871234B66B5E9D45495F8F8DD4B0037?ln=css HTTP/1.1" 200 202241
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/layout/layout.js.xhtml;jsessionid=5871234B66B5E9D45495F8F8DD4B0037?ln=primefaces&v=5.3 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=5871234B66B5E9D45495F8F8DD4B0037?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/primefaces.css.xhtml;jsessionid=5871234B66B5E9D45495F8F8DD4B0037?ln=primefaces&v=5.3 HTTP/1.1" 200 70754
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/images/ui-bg_highlight-soft_100_deedf7_1x100.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:18 +0600] "GET /pms/javax.faces.resource/images/ui-bg_glass_80_d7ebf9_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
